accountId,date_acquired,cust_age,avg_order_rev,min_order_rev,max_order_rev,tot_order_cnt,churned
10283,2013-05-02,1190,328.095,226.26,429.93,2,1
10290,2013-05-02,1190,548,210,886,2,1
10293,2013-05-02,1190,1070.8125,561,1312.5,4,1
10305,2013-05-02,1190,267.3,261,273.6,2,1
10309,2013-05-02,1190,201.67,117.55,261.9,3,1
10311,2013-05-07,1185,809.41,396.85,1120.74,4,1
10319,2013-05-02,1190,721.68,721.68,721.68,2,1
10323,2013-05-02,1190,331.28,185.1,405.29,3,0
10326,2013-05-02,1190,216.093333,15,320.28,3,1
10327,2013-05-02,1190,526.206667,253.82,742.4,3,1
10331,2013-05-03,1189,1918.15,1679,2157.3,2,1
10343,2013-05-03,1189,276.9,197.8,356,2,1
10359,2013-05-10,1182,2072.666667,715,2987.5,4,1
10368,2013-05-09,1183,685.07,591.14,779,2,1
10372,2013-05-03,1189,390.2,135.4,645,2,1
10380,2013-05-03,1189,744.246667,714.44,775.8,3,1
10385,2013-05-03,1189,1305.73,874.5,1791.9,4,0
10389,2013-05-03,1189,2379.2,510,7438.2,6,1
10401,2013-05-03,1189,371.706667,351.12,382,3,1
10411,2013-05-03,1189,707.2,271.44,1500,3,0
10412,2013-05-03,1189,509.22,464.74,553.7,2,0
10421,2013-05-03,1189,270.166667,261,285.5,3,1
10426,2013-05-06,1186,368.835,332.51,405.16,2,1
10446,2013-05-03,1189,817.19,779.16,855.22,2,1
10448,2013-05-03,1189,872.85,460,1285.7,2,1
10479,2013-05-04,1188,773.52,210,1337.04,2,1
10480,2013-05-04,1188,238.19,190.9,285.48,2,1
10487,2013-05-04,1188,260.04,144,363.24,3,1
10494,2013-05-04,1188,309,259.5,358.5,2,1
10500,2013-05-05,1187,355.75,222.8,488.7,2,1
10504,2013-05-05,1187,263.14,178.68,347.6,2,1
10511,2013-05-09,1183,1317.775,1068.75,1618.75,4,1
10514,2013-05-05,1187,324.7,324.7,324.7,2,1
10516,2013-05-05,1187,549.725,335,764.45,2,1
10527,2013-05-05,1187,469.1,374.8,563.4,2,1
10534,2013-05-05,1187,576.59,323.8,927.5,4,1
10535,2013-05-05,1187,1058.37,186.24,1930.5,2,1
10536,2013-05-05,1187,664.875,301.2,1028.55,2,1
10550,2013-05-06,1186,428.194,187.44,833,5,1
10552,2013-05-06,1186,494.4,359.04,629.76,2,1
10562,2013-06-24,1137,586.695,279.83,893.56,2,1
10567,2013-05-06,1186,303.665,245.91,361.42,2,1
10579,2013-05-06,1186,350.45,334.5,366.4,2,1
10586,2013-05-06,1186,799.405714,243.9,1887,7,1
10587,2013-05-06,1186,342.19,331.8,352.58,2,1
10592,2013-05-06,1186,734.5,570.5,860,3,0
10599,2013-05-06,1186,511.3,281.6,741,2,1
10600,2013-05-06,1186,246.67,176.55,299.75,4,0
10602,2013-05-06,1186,682.73,637.26,728.2,2,1
10608,2013-05-06,1186,450.265,409.8,490.73,2,1
10611,2013-05-13,1179,1770.39,1378.75,2162.03,2,1
10622,2013-05-06,1186,1883.626667,954.15,2527.38,3,0
10626,2013-05-06,1186,1048.75,997.5,1100,2,0
10641,2013-05-06,1186,371.56,269.5,477.18,3,1
10644,2013-05-16,1176,501.74,33.95,753.69,3,1
10648,2013-07-01,1130,654.856667,605.95,724.5,3,1
10652,2013-05-06,1186,292.025,245.8,338.25,2,1
10664,2013-05-07,1185,1509.755,1354.47,1665.04,2,1
10671,2013-05-07,1185,484.335,98.67,870,2,1
10703,2013-05-07,1185,1502.24,927.68,2076.8,2,1
10708,2013-05-07,1185,398.416667,229.75,550,3,1
10710,2013-05-10,1182,945.75,891.5,1000,2,1
10712,2013-05-08,1184,348.34,312.5,384.18,2,1
10720,2013-05-07,1185,208.93,208.93,208.93,2,1
10733,2013-05-07,1185,509.366667,375.5,597.1,3,1
10734,2013-05-07,1185,465.75,465.75,465.75,2,1
10748,2013-05-07,1185,446.115,412.83,479.4,2,1
10758,2013-07-12,1119,1617.585,1106.42,2128.75,2,1
10760,2013-05-08,1184,281.746667,129.02,386.22,3,1
10761,2013-05-07,1185,633.75,617.5,650,2,1
10771,2013-05-09,1183,401.423333,334.45,446.8,3,0
10781,2013-05-17,1175,535.98,236.85,1356.5,5,1
10782,2013-05-07,1185,853.05,723,983.1,2,1
10788,2013-05-07,1185,2978.640476,330,21973.5,28,0
10804,2013-05-07,1185,1813.793333,892.1,3198.5,3,0
10812,2013-05-07,1185,478.016667,259.8,738,3,0
10816,2013-05-09,1183,318.526667,269.89,410.8,3,1
10817,2013-05-07,1185,243.54,166.68,320.4,2,1
10822,2013-05-07,1185,304.7525,150.16,510.9,4,1
10843,2013-05-08,1184,764.58,504.81,1024.35,2,1
10851,2013-05-21,1171,266.933333,74,397,3,1
10862,2013-05-08,1184,746.913333,150,1952.81,6,0
10874,2013-05-28,1164,301.3375,204.6,364.04,5,1
10881,2013-05-08,1184,536.125,525,547.25,2,1
10888,2013-05-08,1184,568.2,40,1096.4,2,1
10904,2013-05-08,1184,417.213333,391.04,430.8,4,1
10906,2013-05-08,1184,211.41,187.32,235.5,2,1
10908,2013-05-10,1182,258.626667,41,392.23,3,1
10909,2013-05-08,1184,1840.54,1081.08,2600,2,1
10918,2013-05-08,1184,275.066667,229.32,348.92,3,1
10920,2013-05-08,1184,259.63,210,309.26,2,1
10944,2013-05-08,1184,328.795,250.95,406.64,2,1
10945,2013-05-23,1169,412.43,49.5,818.05,4,1
10948,2013-05-08,1184,426.63,278.75,562.5,3,1
10949,2013-05-08,1184,493.9375,330,628,4,1
10950,2013-05-08,1184,633.33375,258.75,1113.3,8,1
10956,2013-05-08,1184,698.5,698.5,698.5,2,1
10958,2013-05-08,1184,616.916667,468.75,728.5,3,1
10968,2013-05-08,1184,2422.366667,254.6,3637.5,3,1
10970,2013-05-08,1184,471.302667,113.4,1230.4,16,0
10973,2013-05-08,1184,528.0925,312.33,759.7,4,0
10989,2013-05-08,1184,833.346667,712.6,969.04,4,1
10991,2013-05-08,1184,258.65,55,462.3,3,1
11002,2013-05-13,1179,341.945,280.39,403.5,3,1
11006,2013-05-09,1183,952.945,925.18,980.71,3,1
11014,2013-05-09,1183,571.89,533.76,610.02,2,1
11020,2013-05-09,1183,638.901667,200,1765,18,0
11021,2013-05-10,1182,459.75,370,549.5,2,1
11039,2013-05-14,1178,225.065,156,302.75,4,0
11049,2013-05-30,1162,370.0375,40,572.55,4,1
11052,2013-05-09,1183,558.936667,236.6,785.52,3,0
11057,2013-05-09,1183,327.484,273.8,448.2,5,0
11064,2013-05-09,1183,940,940,940,2,1
11071,2013-05-10,1182,958.52,314.07,1508.81,6,1
11075,2013-05-13,1179,445.336667,440,453.01,4,0
11076,2013-05-10,1182,371.5,253,490,2,0
11077,2013-05-09,1183,1182.813077,259.2,3535.51,13,0
11078,2013-05-09,1183,580.15,429.5,649,5,1
11081,2013-05-09,1183,779.9,689.8,870,3,1
11084,2013-05-09,1183,276,100,452,2,1
11091,2013-05-09,1183,529.866667,161.35,914.4,6,1
11093,2013-05-09,1183,856.25,180,1532.5,2,1
11096,2013-05-21,1171,366.25,340,392.5,2,1
11106,2013-05-09,1183,334.49,203.98,465,2,1
11114,2013-05-09,1183,306.25,259.25,353.25,2,1
11124,2013-05-10,1182,394.5,394.5,394.5,2,1
11128,2013-05-10,1182,827.5,740,915,2,1
11142,2013-05-10,1182,395.306667,163.44,698.75,6,1
11145,2013-05-10,1182,454.485,154.4,754.57,2,1
11152,2013-05-10,1182,2043.833333,1662,2286,4,1
11160,2013-05-10,1182,226.61,172.9,280.32,2,1
11181,2013-05-10,1182,380.906667,139.5,800.72,3,1
11199,2013-05-10,1182,1297.997143,355.5,2450,8,0
11214,2013-05-10,1182,394.8,254.8,587.05,3,0
11215,2013-05-10,1182,853,853,853,2,1
11228,2013-05-11,1181,426.925,421.45,432.4,2,1
11233,2013-05-11,1181,1773.008333,120,4110.32,6,0
11235,2013-05-11,1181,331.56,266.16,396.96,2,1
11241,2013-05-11,1181,493.406667,157.5,1079.96,3,1
